title,city,listing_city,district,size,rent,available_from,url,price_per_sqm,avg_ppm_diff,rent_index_diff,available_until,flatmates,flatmate_details,flatmates_female,flatmates_male,flatmates_diverse,rooms_free,room_type,online_since,straight_line_km,distance_km,duration_min,transit_distance_km,transit_duration_min,is_transit_estimated
Rießiges modernes Wg Zimmer mitten in der Stadt,"Stuttgart
                            
                            Stuttgart-Mitte","Stuttgart
                            
                            Stuttgart-Mitte",,30.0,835.0,11.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Stuttgart-Mitte.13062156.html,27.83,-7.99,,,3,"0w,2m,0d,0n",0,2,0,,,,9.37,,,26.13,9.6,True
"Reinsburgstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,10.0,575.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12277981.html,57.5,21.68,,,7,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Wangener Straße,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,20.0,540.0,19.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12814456.html,27.0,-8.82,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Leuschnerstraße /,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,14.0,540.0,17.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12814452.html,38.57,2.75,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Wangener Straße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,20.0,540.0,04.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12286196.html,27.0,-8.82,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Charlottenstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,12.0,480.0,04.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12901369.html,40.0,4.18,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Charlottenstraße,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,12.0,565.0,04.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.11223192.html,47.08,11.26,,,4,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Wangener Straße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,10.0,470.0,04.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12281987.html,47.0,11.18,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Augustenstraße,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,21.0,660.0,19.01.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12793900.html,31.43,-4.39,,,4,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Schwarenbergstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,10.0,575.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12277892.html,57.5,21.68,,,5,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Weimarstraße,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,13.0,550.0,31.01.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12814255.html,42.31,6.49,,,5,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Wangener Straße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,20.0,540.0,19.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12281857.html,27.0,-8.82,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Stuifenstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,14.0,650.0,06.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12903066.html,46.43,10.61,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Wangener Straße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,13.0,505.0,09.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12281946.html,38.85,3.03,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Leuschnerstraße 49/1,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,17.0,580.0,16.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12793899.html,34.12,-1.7,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Pfarrstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,16.0,600.0,08.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12901906.html,37.5,1.68,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Leuschnerstraße,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,23.0,590.0,04.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12814167.html,25.65,-10.17,,,5,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Leuschnerstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,23.0,590.0,04.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12281903.html,25.65,-10.17,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Lehenstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,18.0,790.0,01.04.2027,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12895653.html,43.89,8.07,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Reinsburgstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,10.0,700.0,01.08.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12277986.html,70.0,34.18,,,7,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Charlottenstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,15.0,495.0,19.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12281705.html,33.0,-2.82,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zimmer - Zimmer in der Weimarstraße,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,18.0,605.0,17.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12814303.html,33.61,-2.21,,,5,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Leuschnerstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,18.0,515.0,04.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12282072.html,28.61,-7.21,,,4,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Urbanstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,20.0,470.0,19.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12901993.html,23.5,-12.32,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Traubenstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,18.0,575.0,04.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12901584.html,31.94,-3.88,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Charlottenstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,14.0,575.0,04.11.2025,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12282126.html,41.07,5.25,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Hauptstätter Straße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,13.0,500.0,04.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12918993.html,38.46,2.64,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"Urbanstraße, Stuttgart","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,10.0,505.0,19.01.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12281723.html,50.5,14.68,,,2,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
